# DwarfCorp profiler export
# generated_utc,2026-04-20T00:45:26.0518437Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,1000
VISIBLE CHUNKS,103
Physics Objects,33
Transforms,234
COMPONENTS,2225
ENTITIES UPDATED,234
ChunkMeshGenBatchSize,1
ChunkMeshGenWorkers,15
AI Objects,22
ChunkMeshUploadsThisFrame,0
ChunkMeshUploadsPending,0
INSTANCES DRAWN,1073

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,2978793
Render,1,2977337
GUI Mesh Gen,1,18361
Update,1,1452
Component Update,1,204
AISystem,1,170
PhysicsSystem,1,69
EnumRootLFrus,1,46
ChunkRenderer.Update,1,26
Transform Update,1,7
ChunkMeshUploadDrain,2,3

62.864,24.0,40.522
62.895,32.0,30.807
62.928,30.0,32.966
62.957,34.0,29.222
62.991,29.0,34.281
63.017,39.0,25.261
63.043,38.0,26.246
63.073,32.0,30.528
63.105,31.0,31.394
63.135,33.0,30.289
63.168,30.0,32.737
63.199,32.0,30.766
63.231,30.0,32.734
63.262,32.0,30.608
64.050,1.0,788.034
64.191,7.0,141.285
64.227,28.0,35.580
64.258,32.0,30.864
64.291,30.0,32.930
64.322,32.0,31.238
64.354,30.0,32.468
64.385,32.0,30.876
64.419,29.0,33.447
64.449,32.0,30.623
64.482,30.0,32.278
64.512,32.0,30.668
64.545,30.0,33.054
64.577,31.0,31.363
64.609,30.0,32.710
64.640,32.0,30.812
64.673,30.0,32.989
64.704,32.0,31.033
64.737,30.0,33.186
64.768,32.0,30.822
64.801,30.0,32.903
64.832,32.0,30.852
64.865,30.0,33.230
64.896,32.0,31.235
64.929,30.0,32.679
64.960,32.0,30.782
64.993,30.0,32.607
65.023,32.0,30.313
65.056,30.0,32.973
65.087,32.0,30.711
65.119,30.0,32.598
65.150,32.0,31.126
65.182,31.0,32.236
65.213,32.0,30.767
65.246,30.0,32.821
65.277,32.0,31.109
65.310,30.0,32.806
65.341,32.0,31.250
65.374,30.0,33.102
65.405,32.0,31.018
65.438,30.0,32.842
65.469,32.0,31.047
65.502,30.0,32.919
65.532,34.0,29.382
65.555,43.0,22.959
65.577,43.0,22.767
65.600,43.0,23.065
65.624,41.0,24.109
65.649,41.0,24.181
65.671,44.0,22.538
